,en,fr,it,zh,de,es,ko,sv,hu,ja,nl,ru
INV_PARTICLES_DESC,Make exciting things with these particles.,,,用这些粒子制造出令人惊奇的宝贝！,Erzeuge sensationelle dinge mit diesen Partikeln.,Fabrica cosas emocionantes con estas partículas.,,,Készíts mindenféle érdekes dolgot ezekből a részecskékből.,この粒子でワクワクするものを作ってみよう。,Maak interessante dingen met deze deeltjes.,
AMN_NAME,Atom manipulator,,,原子操纵仪,Atom Manipulator,Manipulador de átomos,,,Atommanipulátor,原子マニピュレーター,Atoommanipulator,Атомный манипулятор
AMN_NAME_S,Atom manipulators,,,,Atom Manipulatoren,Manipuladores de átomos,,,Atommanipulátorok,原子マニピュレーター,Atoommanipulators,Атомные манипуляторы
AMN_DESC,Can transform atoms into metals and vice versa.,,,能够将原子转化为金属，反之亦然。,Transformiert Atome in Metall und umgekehrt.,Puede transformar átomos en metales y viceversa.,,,"Átalakítja a fémeket atomokká, és vissza.",原子を金属に変換したり、逆に金属を原子に変換することができる。,"Kan atomen in metalen omzetten, en vice versa.",
BASE_SPEED,Base speed,,,基础速率,Grundgeschwindigkeit,Velocidad de base,,,Alapsebesség,基本速度,Basissnelheid,Базовая скорость
REACTIONS_PANEL_DESC,Select a recipe at the left to choose what to transform into what.\nMore recipes can be unlocked with research.,,,选择左侧的配方以选择要转化为什么。\n可以通过研究解锁更多配方。,Wähle ein Rezept von links für die Transformation.\nMehr Rezepte erhälst du durch Forschungen.,Selecciona una receta de la izquierda para decidir qué transformar.\nMás recetas pueden ser desbloqueadas investigando.,,,Válassz ki egy átalakítási receptet a bal oldalról. Több recept megnyitható kutatással.,左のレシピを選択して、何に変身させるか選択します。\n研究によって、より多くのレシピをアンロックすることができます。,Selecteer links een recept om te kiezen wat er omgezet wordt in wat.\nMeer recepten kunnen onderzocht worden.,
TRANSFORM,Transform,,,转化,Transformieren,Transformar,,,Átalakítás,トランスフォーム,Transformeer,
STMB_NAME,Ship travel minigame boost,,,飞船航行小游戏增幅器,Schiffsreise minispiel beschleunigung,impulso del minijuego de la nave,,,Utazási minijáték hatása,艦船移動ブーストミニゲーム,Schip reis minigame boost,
STMB_DESC,Accelerate ship travel even more while playing the minigame.,,,飞船在进行航行小游戏时，速度增益会更高。,Beschleunige die Schiffsreise noch stärker wärend des minispiels.,Acelera el viaje de la nave aún más al jugar el minijuego.,,,Az utazási minihjáték többet gyorsít a hajódon.,ミニゲームをプレイしながら、さらに艦船の走行を加速させる。,Versnelt schepen nog meer wanneer je de minigame speelt.,
SHSR_NAME,Ship hitbox size reduction,,,飞船战斗形态体型,Verringert die Trefferzone des Schiffs.,Reducción de la hitbox de la nave,,,,艦船のヒットボックスサイズ縮小,Ship hitbox verkleining,
SHSR_DESC,"While in battle, makes the hitbox of all ships smaller to more easily dodge attacks.",,,在战斗中，使所有战舰体型更小，更容易躲避弹道。,Verringert die Trefferzone aller Schiffe während des Kampfes um ein ausweichen zu erleichtern.,Reduce el tamaño de la hitbox de todas las naves en batallas para facilitar esquivar los ataques enemigos.,,,,戦闘中、艦船のヒットボックスを小さくして、攻撃をかわしやすくする。,"Maakt de hitbox van je schepen kleiner in gevechten, waardoor je makkelijker kan ontwijken.",
SI_NAME,Silicon,,,硅,Silikon,Silicio,,,Szilícium,シリコン,Silicone,Кремний
F_NAME,Fluorine,,,氟,Flourid,Flúor,,,Fluor,フッ素,Fluor,Фтор
FE_NAME,Iron,,,铁,Eisen,Hierro,,,Vas,鉄,IJzer,Железо
AL_NAME,Aluminium,,,铝,Aluminum,Aluminio,,,Alumínium,アルミニウム,Aluminium,Алюминий
GAS_GIANT,Gas giant,,,气态巨行星,Gas Riese,Gigante gaseoso,,,Gázóriás,ガス惑星,Gasreus,Газовый гигант
HELIUM,Helium,,,氦,Helium,Helio,,,Hélium,ヘリウム,Helium,Гелий
HE_NAME,Helium,,,氦,Helium,Helio,,,Hélium,ヘリウム,Helium,Гелий
K_NAME,Potassium,,,钾,Kalium,Potasio,,,Kálium,カリウム,Kalium,Калий
MG_NAME,Magnesium,,,镁,Magnesium,Magnesio,,,Magnézium,マグネシウム,Magnesium,Магний
NA_NAME,Sodium,,,钠,Natrium,Sodio,,,Nátrium,ナトリウム,Natrium,Натрий
TI_NAME,Titanium,,,钛,Titan,Titanio,,,Titán,チタン,Titanium,Титан
CA_NAME,Calcium,,,钙,Kalzium,Calcio,,,Kalcium,カルシウム,Calcium,Кальций
NI_NAME,Nickel,,,镍,Nikel,Níquel,,,Nikkel,ニッケル,Nikkel,Никель
SPR_NAME,Subatomic particle reactor,,,粒子反应堆,Teilchenbeschleuniger,Reactor de partículas subatómicas,,,Részecskereaktor,素粒子原子炉,Subatomaire deeltjes reactor,
SPR_NAME_S,Subatomic particle reactors,,,粒子反应堆,Teilchenbeschleuniger,Reactores de partículas subatómicas,,,Részecskereaktorok,素粒子原子炉,Subatomaire deeltjes reactors,
SPR_DESC,Can transform atoms into particles and vice versa.,,,能够把亚原子转化为粒子，反之亦然。,Verwandelt Atome zu Partikeln und umgekehrt.,Puede transformar átomos en partículas y viceversa.,,,Átalakítja a részecskékat atomokká és vissza.,原子を粒子に変換したり、その逆を行うことができる。,"Kan atomen in deeltjes omzetten, en vice versa.",
NO_ACTIVITY_ON_GAS_GIANT,Impossible to explore/build on/mine/farm on gas giants!,,,无法探索/建造/开采/种殖于气态巨行星表面！,Es  ist unmöglich auf Gasriesen etwas an/abzubauen oder sie zu erkunden !,¡Es imposible explorar/construir/excavar/cultivar en gigantes gaseosos!,,,Nem lehet építkezni/felfedezni a gázóriásokon!,ガス惑星での探査・建設・採掘・農業は不可能！,Je kan niet op gasreuzen verkennen/bouwen/delven!,
M_MME_NAME,Mega mineral extractor,,,巨型水晶萃取仪,Megamineralienextraktor,Mega extractor de minerales,,,Mega-ásványkivonó,メガ鉱物抽出機,Mega mineraalontginner,
M_MME_DESC,"Extracts minerals from gas giants, and increases mineral capacity.\n\nCosts and capacity scale with the planet's size.\n\nOutput scales with the planet's size and atmospheric pressure.",,,从气态巨行星中提取水晶矿物质。\n\n成本随行星的体积而变化。\n\n产出随行星的体积和大气压而变化。,Extrahiert Mineralien aus Gasriesen.\n\nKosten skalieren mit der Planetengröße.\n\nLeistung skaliert mit dem Atmospärendruck.,Extrae minerales de los gigantes gaseosos.\n\nLos costos incrementan con el tamaño del planeta.\n\nLa producción aumenta con el tamaño y la presión atmosférica del planeta.,,,HKIvonja az ásványokat egy gázóriás légköréből.\n\n Ára a bolygó méretétől függ.\n\n Hatékonysága a bolygó méretétől és légnyomásától függ.,ガス惑星から鉱物を抽出する。\n\n費用は惑星の大きさに比例します。\n\n出力は惑星の大きさと大気圧に比例する.,"Ontgingt mineralen uit gasreuzen.\n\nKosten lopen op met de grootte van de planeet.\n\nUitvoer loopt op met de grootte van de planeet, en de atmosferische druk.",
MME1_DESC,Mega mineral extractors are built around gas giants designed to filter out all the minerals from the atmosphere.\nThis science unlocks the first construction stage of mega mineral extractors.,,,巨型水晶萃取仪是围绕气态巨行星而构筑的，旨在析出大气中的所有水晶分子。\n这门科学开启了巨型矿物采集器的第一个建造阶段。,Megamineralienextraktoren werden um Gasriesen gebaut und filtern alle Mineralien aus dessen Atmosphäre.\n Dieses Forschungsprojekt schaltet die erste stufe zur konstruktion dieser frei.,Los mega extractores de minerales se construyen al rededor de los gigantes gaseosos para filtrar todos los minerales de la atmósfera.\nEsta investigación desbloquea la primera etapa de los mega extractores de minerales.,,,"A mega-ásványkivonók gázóríások köré épülő struktúrák, amik ásványokat szendek ki a légköréből.\n Ez megnyitja a mega-ásványkivonók első építési szintjét.",メガ鉱物抽出機は、大気中のすべての鉱物をろ過するように設計されたガス惑星を中心に建設される。\nこの科学はメガ鉱物抽出機の最初の建設段階をアンロックする。,Mega mineraalontginners worden rond gasreuzen gebouwd en ontworpen om alle mineralen uit de atmosfeer te filteren.\nDeze technologie ontgrendelt het eerste bouwstadium.,
MME2_DESC,Unlocks the second construction stage of mega mineral extractors.,,,解锁巨型晶萃仪的第二个施工阶段。,Schaltet die zweite Konstruktionsstufe der Megamineralienextraktoren frei.,Desbloquea la segunda etapa de construcción de los mega extractores de minerales.,,,Megnyitja a mega-ásványkivonók második szintjét.,メガ鉱物抽出機の第2建設ステージをアンロックする。,Ontgrendelt het tweede bouwstadium van mega mineraalontginners.,
MME3_DESC,Unlocks the third and final construction stage of mega mineral extractors.,,,解锁第三个也是最后一个巨型晶萃仪的竣工阶段。,Schaltet die dritte und letzte Konstruktionsstufe der Megamineralienextraktoren frei.,Desbloquea la tercera y última etapa de construcción de los mega extractores de minerales.,,,Megnyitja a mega-ásványkivonók harmadik és utolsó szintjét.,メガ鉱物抽出機の3つ目の最終建設段階をアンロックする。,Ontgrendelt het derde en laatste bouwstadium van mega mineraalontginners.,
ONLY_GAS_GIANT,This megastructure can only be built around gas giants.,,,这种巨型结构只能围绕气态巨行星建造。,Megamineralienextraktoren können nur um einen Gasriesen konstruiert werden.,Esta megaestructura sólo puede ser construida al rededor de gigantes gaseosos.,,,Ezt csak gázóriások köré lehet építeni.,この巨大構造は、ガス惑星の周辺にしか作れないのです。,Dit megagebouw kan enkel rond gasreuzen gebouwd worden.,
XP_HELP,Every $100 spent constructing/upgrading buildings = 1 XP,,,每消费100元建造/升级建筑物=1 经验值,Je 100 $ für den Bau/Verbesserung von Gebäuden = 1 EXP,Cada $100 invertidos en construir/mejorar edificios = 1 XP,,,MInden $100 elköltve építésre/fejlesztésre = 1 XP,建物の建設/アップグレードに100ドル使用するごとに1XP。,Elke $100 die je uitgeeft aan gebouwen (constructie/upgrades) = 1 XP,
LOOT_XP_BONUS,Loot/XP multiplier,,,战利品/经验加成,Loot/EXP Multiplikator,Multiplicador de botín/XP,,,,戦利品/XPの倍率,Buit/XP vermenigvuldiger,Добыча/Опыт множитель
LOOT,Loot,,,战利品,Loot,Botín,,,,略奪品,Buit,Добыча
LOOT_XP_BONUS_DESC,Dodging all attacks: x 1.5\nGetting hit once: x 1.25\nGetting hit twice: x 1.1\nGetting hit more than twice: x 1,,,躲避所有攻击：x 1.5\n被命中一次：x 1.25\n被命中两次：x 1.1\n被命中两次以上：x 1,Allen Angriffen ausweichen: x1.5\nEine Treffer: x1.25\nZwei Treffer: x1.1\nMehr als zwei Treffer:: x1,Esquivar todos los ataques: x 1.5\nSer golpeado una vez: x 1.25\nSer golpeado dos veces: x 1.1\nSer golpeado más de dos veces: x 1,,,,すべての攻撃をかわす：×1.5\n1回攻撃を受ける：×1.25\n2回攻撃を受ける：×1.1\n2回以上攻撃を受ける：×1,Alle aanvallen ontwijken: x 1.5\nEenmaal geraakt worden: x 1.25\nTweemaal geraakt worden: x 1.1\nMeermaals geraakt worden: x 1,
LV_18_NEEDED_DESC,You need to unlock galaxy view first (reach level 18).,,,你需要先解锁星系扫描仪(达到18级)。,Du must vorher Galaxieansicht freischalten (ab level 18),Primero debes desbloquear la vista de galaxia (alcanza el nivel 18).,,,Ehhez meg kell nyitnod a galaxisnézetet (18. szint),レベル18に到達して銀河系図をアンロックする必要があります。,Je moet de heelalweergave eerst vrijspelen (level 18).,
LV_18_NEEDED,Level 18 needed,,,需到达18级,Level 18 benötigt,Se requiere el nivel 18,,,18. szint kell,レベル18が必要,Level 18 benodigd,
CAVE_DIFF_INFO,Enemy stats and resources you get from mining and from treasure are multiplied by this value.,,,你从采矿和宝藏中获得的敌人数据和资源将乘以这个值。,Gegenerische Eigenschaften und Ressourcen die du durch den Abau und Schätze erhälst werden mit diesem wert multipliziert.,Las estadísticas de los enemigos y los recursos que obtienes de excavar y de tesoros son multiplicados por este valor.,,,,敵のステータスや、採掘やトレジャーから得られる資源は、この値で掛け合わされます。,De eigenschappen van vijanden en de hoeveelheid grondstoffen die je delft/buitmaakt worden hiermee vermenigvuldigd.,
STAR_SYSTEM_DIFFICULTY,Star system difficulty,,Difficoltà sistema solare,恒星系统治难度,Sternensystemschwierigkeit,Dificultad del sistema estelar,,,Rendszer nehézsége,スターシステム難易度,Zonnestelsel moeilijkheid,
FLOOR_MULTIPLIER,Floor multiplier,,Moltiplicatore del piano,层数加成,Ebenenmultiplikator,Multiplicador de la planta,,,Szintszorzó,床倍率,Niveau vermenigvuldiger,
USE_SPEEDUP_MS,Click a megastructure to accelerate construction (%s%% efficiency),,,单击巨型结构以加快构造(%s%%效率),Klicke auf eine Megeastruktur um die konstruktion zu beschleunigen (%s %% effiziens),Haz clic en una megaestructura para acelerar la construcción (%s%% de eficiencia),,,Kattints egy megastruktúrára az építés felgyorsításához (%s%% hatékonyság),建設を加速するメガストラクチャーをクリックする（%s%%efficiency）,Klik op een megagebouw om de bouw te versnellen (%s%%efficieny),
U_NAME,Uranium,,Uranio,铀,Uran,Uranio,,,Urán,ウラン,Uranium,Уран
TERRAFORM,Terraform,,Terraformare,行星星球格式化,Terraforming,Terraformar,,,Átalakítás,テラフォーム,Terraformeer,Терраформинг
TERRAFORM_DESC,"Click on a task the planet should specialize in. This cannot be changed later. Everything on the planet will be wiped, and will no longer be accessible.",,,命令这个星球将专攻的任务项目，永久不可更改。星球上的一切将会被良性格式化，且再也无法进行微观调控和干预。,Klicke auf eine Aufgabe auf die sich dieser Planet spezialisieren soll.Die Auswahl ist final.Alles wird von der Planetenoberfläche entfernt und sie wird unzugänglich,Haz clic en la tarea que el planeta se especializará. Todo sobre la faz del planeta será destruido y no podrás acceder a él.,,,"Kattints egy feladatra, amiben ez a bolygó specializálódjon. Ezt nem tudod megváltoztatni. Minde elk lesz tüntentve a bolygón, és nem lesz elérhető a felszíne.",惑星が特化すべきタスクをクリックします。これは後で変更することはできません。惑星にあるものはすべて消去され、アクセスできなくなります。,"Selecteer een specialisatie voor deze planeet. Dit is permanent. Alles op de planeet zal verwijderd worden, en je kan de planeet niet meer bezoeken.","Нажмите на задачу, в которой должна специализироваться планета. Это нельзя изменить позже. Все на планете будет стерто, и она больше не будет доступна."
MINERAL_STORAGE,Mineral storage,,Magazzino di minerali,矿产储藏业,Mineralienlager,Almacenamiento de minerales,,,Ásványtárolás,鉱物の貯蔵,Mineraalopslag,
TF_SC,Terraforming,,Terraformazione,星球格式化科学,Terraformen,Terraformar,,,Átalakítás,テラフォーミング,Terravormen,Терраформирование
TF_DESC,"Unlocks terraforming planets. A terraformed planet specializes in a certain task, like storing minerals. It allows you to fit many more buildings, at the cost of the planet no longer being accessible.",,,解锁地外行星星球格式化。建造一颗人工地球专门从事某项功能，比如储存矿物。这样你可以修建更多的建筑，但是你再也不能进入星球了。,"Schaltet Planetenterraforming frei. Eine Terraformierter Planet Spezialisiert sich auf auf eine bestimmte Aufgabe (z.b Lagerung). Dies erlaubt es mehr Gebäude auf einem Planete zu bauen, allerdings ist der Planet danach nicht mehr zugänglich.","Desbloquea la terraformación de planetas. Un planeta terraformado se especializa en una tarea específica, como almacenar minerales. Te permite construir muchos más edificios pero el planeta ya no podrá ser accedido.",,,"Megnyitja a bolygók átalakítását. Az átalakított bolygók egy dologban specializálódnak, példáus ásványtárolásban. Sokkal több épület fog férni a bolygóra, de a bolygó elérhetetlen lesz.",テラフォーミング惑星をアンロックします。テラフォーミングされた惑星は、鉱物の貯蔵など、特定の作業に特化した惑星です。より多くの建物を設置できるようになりますが、その代償として惑星へのアクセスはできなくなります。,"Ontgrendelt het terraformeren van planeten. Een geterraformeerde planeet specialiseert in een bepaalde taak, zoals mineralen opslaan. Dit staat je toe veel meer gebouwen te maken, maar de planeet word verder onbeschikbaar.",
T_OR_NO_T,Tutorial or no tutorial?,Voulez-vous un tutoriel?,,是否需要教程引导?,Tutorial oder kein Tutorial?,¿Tutorial o no tutorial?,,,Akarsz bevezetést?,チュートリアルを受けますか？\n初回プレイ時はチュートリアルをプレイすることをお勧めします。,Tutorial of geen tutorial?,Обучение или без обучения?
GUIDE_ME,Guiding me would be nice,Ce serait bien de me guider,,指引我肯定不错,Eine Hilfestellung wäre schön,Me vendría bien ser guiado un poco,,,Jól jönne,ガイドをしてもらう,Wat hulp zou leuk zijn,
FIGURE_OUT_MYSELF,I'll figure everything out myself,Je vais apprendre tout seul,,我会自己想办法,Ich schaffe es alleine,Quiero descubrirlo todo por mi cuenta,,,Majd kitapasztalom a dolgokat,すべて自分で解決する,Ik zoek het zelf wel uit,
NO_SAVING_IN_TUT,(saving possible only after finishing tutorial (~8 minutes long)),(sauvegarde possible après avoir fini le tutoriel (~8 minutes)),,(只有在完成教程<约8分钟>后才能保存),(Speichern ist erst nach dem Tutorial möglich (~8 minuten)),(Solo es posible guardar después del tutorial (Dura unos 8 minutos)),,,(csak a bevezető után lehet menteni (kb. 8 perc)),(チュートリアル(約8分)中はセーブされません）,(opslaan kan enkel na het voltooien van de tutorial (~8 minuten)),
NOT_OBVIOUS_GAMEPLAY,(some gameplay elements may not be intuitive),(certains éléments de jeu peuvent être non intuitifs),,(某些事物可能不是直观的),(Einige Spielelemente sind möglicherweise nicht intuitiv),(Algunos elementos del juego podrían no ser intuitivos),,,"(néhány játékelem nem biztos, hogy egyértelmű lesz)",(直感的でないゲームプレイ要素もあります）,(sommige spelelementen zullen niet intuïtief zijn),
TUTORIAL_1,Welcome to Helixteus 3!\nYour objective is to make as much money as possible.,Bienvenue à Helixteus 3! Votre objectif est de gagner le plus d'argent possible.,,欢迎来到螺旋星系3！\n你的目标是赚尽可能多的钱！,Wilkommen zu Helixteus 3!\n Dein Ziel ist es so viel Geld wie möglich zu machen.,¡Bienvenido a Helixteus 3!\nTu objetivo es conseguir tanto dinero como sea posible.,,,"Üdv a Helixteus 3-ban!\nA célod az, hogy minél több pénzt szerezz.",Helixteus 3 へようこそ!\nあなたの目的は、できるだけ多くのお金を稼ぐことです。,Welkom in Helixteus 3!\nJe doel is om zoveel mogelijk geld te verdienen.,
TUTORIAL_2,Click this button to construct a building\n(or press C on your keyboard),Cliquez sur ce bouton pour construire un bâtiment (ou appuyez sur C sur le clavier),,点击此按钮可建造建筑(或者按C键),Drücke auf diesen Knopf um ein Gebäude zu konstruieren\n(oder drücke C auf der Tastatur),Haz clic en este botón para construir un edificio\n(O presiona C en el teclado),,,Kattints erre a gombra egy épület építéséhez\n(vagy nyomd meg a C billentyűt),このボタンをクリックすると、建物を建てることができます \n（またはキーボードのCキーを押します）,Klik op deze knop om een gebouw te bouwen\n(of druk op C op je toetsenbord),
TUTORIAL_3,Start by constructing these to produce minerals.,Commencez par construire ceux-ci pour produire des minéraux.,,先建造这项来挖掘水晶。,Beginne mit dem bau dieser um Mineralien zu erzeugen.,Empieza por construir estos para producir minerales.,,,Először építs ezekből egy párat az ásványtermeléshez.,まずはこれを建設して、鉱物を生産することから始めましょう。,"Bouw deze eerst, om mineralen te produceren.",
TUTORIAL_4,You have no more energy! Constructing buildings also uses energy most of the time.\nBuild a power plant to start generating energy.,Vous n'avez plus d'énergie!,,电力不足！建造建筑物大部分时候也需要电能来施工。\n建造发电厂开始供电。,Du hast keine Energie mehr! Der Bau von Gebäuden benötigt meistens Energie.\nKonstruiere ein Kraftwerk um Energie zu erzeugen.,¡No te queda energía! Construir edificios también usa energía la mayor parte del tiempo.\nConstruye una planta de energía para empezar a producirla.,,,Nincs több energiád! Az épületek építése legtöbbször energiát is használ.\nÉpíts ehy erőművet az energiatermeléshez.,もうエネルギーがない！建物の建設にも、たいていの場合エネルギーが使われます。\n発電所を建てて、エネルギーを作り始める。,Je hebt geen energie meer! Gebouwen bouwen kost meestal ook energie.\nBouw een energiecentrale om energie op te wekken.,
TUTORIAL_6,Press Esc or right click anywhere to exit building mode.\nYou can also press the close button at the bottom of the screen.,,,按Esc或右击任意处退出建造模式。\n您也可以按屏幕底部的关闭按钮。,Drücke Esc or Rechtsklick irgendwo um den Gebäudemodus zu verlassen.\nDu kannst auch den Knopf unten benutzen.,Presiona Esc o clic derecho en cualquier lugar para abandonar el modo construcción.\nTambién puedes presionar el botón de cerrar en la parte inferior de la pantalla.,,,Nyomd meg as Esc-t vagy jobbkilkkelj hogy kilépj az építőmódból.\nVagy megnyomhatod a képernyő alján a bezáro gombot is,Escキーを押すか、任意の場所で右クリックすると、ビルディングモードを終了します。\n画面下部の閉じるボタンを押すことでもできます。,Druk op Esc of rechtmuisklik om de bouwmodus te verlaten.\nJe kan ook op de sluitknop onderaan het scherm klikken.,
TUTORIAL_7,Click this button to collect all the\nresources produced by your buildings.,,,点击此按钮可收集建筑物产出的所有资源。,Klicke diesen Knopf um aller\nressourcen aus Gebäuden zu sammeln,Haz click en este botón para recolectar todos los\nrecursos producidos por tus edificios.,,,"Kattints erre a gombra hogy összegyűjtsd az összes anyagot, amit az épületek termeltek.",このボタンをクリックすると、建物が生産する資源を\nすべて集めることができます。,Klik hier om alle\ngrondstoffen uit je gebouwen te verzamelen.,
TUTORIAL_8,You now have some minerals!\nPress this button to sell all of them\nfor $5 each.,,,你现在有一些水晶了\n按此按钮可以以每块儿 5 元的价格售出\n出售所有产品。,Du besitz Mineralien!\nDücke diesen Knopf um sie alle zu verkaufen\n für 5$ das Stück.,¡Ahora tienes minerales!\nPresiona este botón para venderlos\npor $5 cada uno.,,,Mostmár van néhány ásványod!\nEzzela gombbal eladhatod őket.\nMindegyikért $5-t kapsz.,あなたは今、いくつかの鉱物を手に入れました\nこのボタンを押すと、すべての鉱物を1つ5ドルで売ることができます。,Nu heb je wat mineralen!\nKlik op deze knop om ze te verkopen\naan $5 per stuk.,
TUTORIAL_9,You earned some money! Use that money\nto construct 4 more power plants.,,,你赚了笔钱了！用这笔钱\n再建造4座发电厂来扩大你的电网。,Du hast Geld verdient!Nutze es zur konstruktion von 4 weiteren Kraftwerken.,¡Obtuviste algo de dinero! úsalo para\nconstruir 4 plantas de energía más.,,,Szereztél egy kis pénzt. Használd fel\nnégy erőmű építésére.,あなたはお金を稼ぐことができました！そのお金で、さらに4つの発電所を建設してください。,Je hebt wat geld verdiend! Gebruik dit geld\nom 4 extra energiecentrales te bouwen.,
TUTORIAL_10,Now you have a good energy supply.\nIt's time to increase mineral production for even more money!,,,现在你有了一个良好的能源供应。是时候扩大水晶产业，赚更多的钱了！,Das ist eine gute Energieversorgung.\n Zeit mehr Mineralien zu prodzieren für noch mehr geld!,Ahora tienes un buen suministro de energía.\n¡Es momento de incrementar la producción de minerales\npara conseguir más dinero!,,,Már egész jó az energiabevételed.\nMostmár építhetsz több ásványkivonót még több pénzért!,これでエネルギー補給もバッチリです。\nそろそろ鉱物の生産量を増やして、さらにお金を稼ぎましょう,Nu heb je een stabiele energietoevoer.\nTijd om je mineraalproductie te verhogen voor meer inkomen!,
TUTORIAL_11,"While you wait for the buildings to generate resources,\nyou can go mining rocks yourself to get other useful things.\nClick this button to open the shop menu to buy a pickaxe.",,,当您等待建筑生产资源时，\n您可以去自己挖掘岩石以获得其它有用的宝贝。\n单击此按钮打开商店菜单购买镐头。,Während du darauf wartest das Gebäude Ressourcen generiern kannst du ja selbst Steine Abbauen um sinnvolle dinge zu erhalstn\nKlicke auf diesen Knopf um den Shop zu öffnen und eine Spitzhacke zu kaufen.,"Mientras esperas que los edificios generen recursos,\npuedes ir a excavar rocas por tu cuenta para conseguir otras cosas útiles.\nHaz clic en este botón para abrir el menú de la tienda y comprar un pico.",,,"Amíg várod, hogy az épületreid több anyagot készítenek,\naddig bányászhatsz, amivel hasznos anyagokra tehetsz szert.\nKattints ette a gombra, hogy nyitsd meg a boltot, és vegyél egy csákányt.",建物が資源を生み出すのを待つ間、\n自分で岩を採掘して、他の便利なものを手に入れることができます。\nこのボタンをクリックすると、ショップメニューが表示され、つるはしを購入することができます。,"Terwijl je wacht op je grondstofproductie,\nkan je zelf rotsen delven om andere nuttige dingen te krijgen.\nKlik op deze knop om de winkel te openen om een pikhouweel te kopen.",
TUTORIAL_14,Click this button to pick a tile to mine.,,,点此按钮选择要挖掘的区块。,Drücke diesen Knopf um etwas Abzubauen.,Haz clic en este botón para elegir una casilla para excavar.,,,"Kattints ette  gombra, és válassz egy négyzetet a bányászathoz.",このボタンをクリックすると、採掘するタイルを選ぶことができます。,Klik op deze knop om een veld te kiezen om te delven.,
TUTORIAL_15,Click this back button to go back to your planet.,,,点此回到地表。,Drücke diesen Knopf um zürck zum Planeten zu kommen.,Haz clic en este botón para volver a tu planeta.,,,"Kattints erre a gombra, hogy visszatérj a bolygódra.",この戻るボタンをクリックすると、あなたの惑星に戻ります。,Klik op deze terug-knop om terug te gaan naar je planeet.,
TUTORIAL_16,A good way of investing money is in research\nto unlock new features and boost resource production.,,,投资资金的一个好方法是进行科技研究，以开发新功能并促进资源生产。,Eine gute Investition ist Forschung für neues und ressourcen boost.,Una buena manera de invertir dinero es en investigación\npara desbloquear cosas nuevas y mejorar la producción.,,,"A kutatás egy jó befektetési lehetőség, met új dolgokat nyit meg és gyorsítja a termelést.",新機能をアンロックしたり、資源生産量を増やしたりするためには、\n研究に資金を投入するのがよいでしょう。,Een goede investering voor je geld is het ontwikkelen van technologie\nom nieuwe elementen vrij te spelen en productie te verhogen.,
TUTORIAL_17,Save up $2000 and 600 energy to construct a research lab.\nDon't hesitate to build more mineral extractors\nand power plants.,,,存入2000元与600度电能来建造一座科技实验室。\n毫不犹豫地建造更多的晶萃机与发电厂吧！,Erspare 2000$ und 600 Energie um ein Labor zu konstruieren.\nKeine angst vor dem Bau von weitern Minenen/Kraftwerken.,Ahorra $2000 y 600 de energía para construir un laboratorio de investigación.\nNo dudes en construir más extractores de minerales\ny plantas de energía.,,,"Gyűjts össze $2000-et és 600 eenrgiát, és építs egy kutatólabort. Építs több ásványkivonót és erőművet is.",2000ドルと600エネルギーを貯めて、研究所を建設してください。\n遅いと感じたなら鉱物抽出機と発電所も追加で作りましょう。,Spaar $2000 en 600 energie op om een ontwikkelingslab te bouwen.\nTwijfel niet om ondertussen meer mineraaldelvers\nen energiecentrales te bouwen.,
TUTORIAL_18,Research labs take over 2 minutes to build.\nLet's speed that up. Go to your inventory.,,,建造科技实验室需要2分钟以上。\n让我们下令赶工，去你的库存。,Forschungslabore brauchen über 2 Minuten zur konstruktion.\nLass uns das beschleunigen.Gehe in das Inventar.,Los laboratorios de investigación tardan 2 minutos\nen construir. Aceleremos eso. Ve a tu inventario.,,,A kutatólabor építése több mint 2 percbe telik. Gyorsítsuk fel egy kicsit. Nyisd meg az inventárt.,研究所の建設に2分以上かかる。\nそれを早めましょう。インベントリに移動します。,Ontwikkelingslabs duren meer dan 2 minuten om te bouwen.\nDat kunnen we versnellen. Ga naar je inventaris.,
TUTORIAL_19,This item speeds up construction of\none building by 2 minutes. You can buy more\nof these in the shop. Click to use it.,,,此项目将\n一座建筑的建造速度加快2分钟。你可以在商城里买到，单击以使用它。,Items beschleunigen die Konstruktion eines\nGebäudes um 2 Minuten.Du kannst mehr\n davon im Laden Kaufen.Klicke um es zu nutzen.,Este objeto acelera la construcción\nde un edificio por 2 minutos. Puedes comprar más\nen la tienda. Clic para usar.,,,Ez felgyorsítja egy épület építését 2 perccel. Tudsz majd még evnni a boltban. Kattints rá a felhasználásához.,このアイテムは、1つの建物の建設時間を2分早めます。ショップでさらに\n個購入できます。クリックすると使用できます。,Dit item versnelt de constructie van\neen gebouw met 2 minuten. Je kan er meer\nkopen in de shop. Klik om het te gebruiken.,
